experiment_id,seed_set,seed_count,formula,created_at
DOE-005,"[2501, 2524, 2547, 2570, 2593, 2616, 2639, 2662, 2685, 2708, 2731, 2754, 2777, 2800, 2823, 2846, 2869, 2892, 2915, 2938, 2961, 2984, 3007, 3030, 3053, 3076, 3099, 3122, 3145, 3168]",30,"seed_i = 2501 + i * 23, i=0..29",2026-02-08 08:15:03.053893
DOE-006,"[3501, 3530, 3559, 3588, 3617, 3646, 3675, 3704, 3733, 3762, 3791, 3820, 3849, 3878, 3907, 3936, 3965, 3994, 4023, 4052, 4081, 4110, 4139, 4168, 4197, 4226, 4255, 4284, 4313, 4342]",30,"seed_i = 3501 + i * 29, i=0..29",2026-02-08 08:50:45.363704
DOE-007,"[4501, 4532, 4563, 4594, 4625, 4656, 4687, 4718, 4749, 4780, 4811, 4842, 4873, 4904, 4935, 4966, 4997, 5028, 5059, 5090, 5121, 5152, 5183, 5214, 5245, 5276, 5307, 5338, 5369, 5400]",30,"seed_i = 4501 + i * 31, i=0..29",2026-02-08 09:14:44.652982
DOE-008,"[6001, 6038, 6075, 6112, 6149, 6186, 6223, 6260, 6297, 6334, 6371, 6408, 6445, 6482, 6519, 6556, 6593, 6630, 6667, 6704, 6741, 6778, 6815, 6852, 6889, 6926, 6963, 7000, 7037, 7074]",30,"seed_i = 6001 + i * 37, i=0..29",2026-02-08 09:45:36.189194
DOE-009,"[8001, 8042, 8083, 8124, 8165, 8206, 8247, 8288, 8329, 8370, 8411, 8452, 8493, 8534, 8575, 8616, 8657, 8698, 8739, 8780, 8821, 8862, 8903, 8944, 8985, 9026, 9067, 9108, 9149, 9190]",30,"seed_i = 8001 + i * 41, i=0..29",2026-02-08 10:05:01.201301
DOE-010,"[10001, 10044, 10087, 10130, 10173, 10216, 10259, 10302, 10345, 10388, 10431, 10474, 10517, 10560, 10603, 10646, 10689, 10732, 10775, 10818, 10861, 10904, 10947, 10990, 11033, 11076, 11119, 11162, 11205, 11248]",30,"seed_i = 10001 + i * 43, i=0..29",2026-02-08 10:26:37.285855
DOE-021,"[23001, 23092, 23183, 23274, 23365, 23456, 23547, 23638, 23729, 23820, 23911, 24002, 24093, 24184, 24275, 24366, 24457, 24548, 24639, 24730, 24821, 24912, 25003, 25094, 25185, 25276, 25367, 25458, 25549, 25640]",30,"seed_i = 23001 + i * 91, i=0..29",2026-02-09 10:39:58.233364
DOE-021_gen2,"[26001, 26098, 26195, 26292, 26389, 26486, 26583, 26680, 26777, 26874, 26971, 27068, 27165, 27262, 27359, 27456, 27553, 27650, 27747, 27844, 27941, 28038, 28135, 28232, 28329, 28426, 28523, 28620, 28717, 28814]",30,"seed_i = 26001 + i * 97, i=0..29",2026-02-09 10:52:22.766807
DOE-022,"[24001, 24098, 24195, 24292, 24389, 24486, 24583, 24680, 24777, 24874, 24971, 25068, 25165, 25262, 25359, 25456, 25553, 25650, 25747, 25844, 25941, 26038, 26135, 26232, 26329, 26426, 26523, 26620, 26717, 26814]",30,"seed_i = 24001 + i * 97, i=0..29",2026-02-09 11:19:26.234139
DOE-023,"[25001, 25102, 25203, 25304, 25405, 25506, 25607, 25708, 25809, 25910, 26011, 26112, 26213, 26314, 26415, 26516, 26617, 26718, 26819, 26920, 27021, 27122, 27223, 27324, 27425, 27526, 27627, 27728, 27829, 27930]",30,"seed_i = 25001 + i * 101, i=0..29",2026-02-09 11:34:23.644171
